Title,View,View1,shortprofile,shortprofile2
Good card with travel benefits,HDFC Bank Credit Card,"I got a travel-specific HDFC credit card in 2019. Luckily, I got a chance to experience its travel perks in September 2019. A good card with a satisfactory rewards rate. I highly recommend HDFC credit cards for frequent travellers.","Mrityunjay Abhivyakti
Posted on: Jun 2, 2021",Mrityunjay Abhivyakti
Good benefits but less rewards,State Bank of India Credit Card,"I have been using SBI Credit Card since 2019. I like the shopping and travel benefits a lot, but the rewards rate is unsatisfactory. With a high annual fee, it is expected that the credit card will offer decent rewards. The customer care service is also very good. Overall, it is good.","Mangesh Kumar
Posted on: Jun 2, 2021",Mangesh Kumar
Exciting perks and benefits,ICICI Bank Credit Card,One thing is for sure that Paisabazaar has quality and professional customer service executives. It was really easy to get a credit card. From helping to choose the ideal card and till the final step it was overall great customer experience. The card has been the best thing for me so far.,"Ojasvini
Posted on: Jun 2, 2021",Ojasvini
HDFC Moneyback Credit Card,HDFC Bank Credit Card,This was my first credit card and I still have it with me because of a simple rewards program and low fee.  I have been able to earn good rewards with this card. Would totally recommend this for beginners.,"Rahul Kumar Arya
Posted on: May 25, 2021",Rahul Kumar Arya
EXCELLENT,American Express®® Credit Card,"Membership rewards card is the best card compared to any card of any other bank. I mean which bank gives you 1000 points by just making 4 transactions in 1 calender month ...? none amex roxx and the cx care is next level no other bank is even 10% of amex cx care ......without thinking twice just go...
Read more...","gurpreet
Posted on: Mar 9, 2020",gurpreet
Very Basic Card,State Bank of India Credit Card,No extra rewards or benefits. Only basic features. Could have been better.,"Shrutika Dhawan
Posted on: Jan 13, 2020",Shrutika Dhawan
Liked it,State Bank of India Credit Card,SBI Simply Click is a good card for online shopping. I get a lot of rewards. Recommended!,"Ritu Kushwaha
Posted on: Jan 13, 2020",Ritu Kushwaha
Low Annual Fee,American Express®® Credit Card,The only credit card from American Express that comes with low Annual fee of Rs. 495 but offers amazing list of cashbacks and rewards that make it worth having,"Vidhi Khatri
Posted on: Jan 3, 2020",Vidhi Khatri
A perfect travel card,American Express®® Credit Card,"My job keeps me on my toes with frequent travels, thanks for American Express Platinum Travel Credit Card I get to enjoy lounge access on the days when my flights are painfully delayed","Vidisha
Posted on: Jan 3, 2020",Vidisha
Good for rewards,American Express®® Credit Card,Ever since i have got this card my spending have become rewarding with amazing rewards program that Amex membership rewards card offers.,"Shivi
Posted on: Jan 3, 2020",Shivi
Excellent card,American Express®® Credit Card,Recently got this card and is amazed by its luxury features. Though the annual fee is little high but its worth spending as compared to the benefits that you get.,"Ashlesha
Posted on: Jan 3, 2020",Ashlesha
Great Card for Travel,State Bank of India Credit Card,Wonderful credit card for travellers. Free membership helps a lot. Fee is high.,"Ronit Shukla
Posted on: Jan 2, 2020",Ronit Shukla
Good enough,State Bank of India Credit Card,I got this card when I had to travel a lot for work every month and it gave me good benefits.  But the annual fee is high; it would have been better if I could get similar features for a lower fee. Other features are also good.,"Shaheen
Posted on: Jan 2, 2020",Shaheen
Good Credit Card,State Bank of India Credit Card,This is a great card for me as I shop at Big Bazaar and FBB frequently.  The annual fee is also very less. I recommend this for regular shoppers.,"Radhika Soni
Posted on: Jan 2, 2020",Radhika Soni
