,credit_card,reviews,user,comment,polarity,polarity_type
0,HDFC Bank Credit Card,"travel-specific HDFC credit card 2019. Luckily, chance experience travel perks September 2019. good card with satisfactory rewards rate. highly recommend HDFC credit cards frequent travellers.",Mrityunjay Abhivyakti,"travel-specif hdfc credit card 2019. luckily, chanc experi travel perk septemb 2019. good card with satisfactori reward rate. highli recommend hdfc credit card frequent travellers.",0.4,Positive
1,State Bank of India Credit Card,"have been using Credit Card since 2019. like shopping travel benefits lot, rewards rate unsatisfactory. With high annual fee, expected that credit card will offer decent rewards. customer care service also very good. Overall, good.",Mangesh Kumar,"have been use credit card sinc 2019. like shop travel benefit lot, reward rate unsatisfactory. with high annual fee, expect that credit card will offer decent rewards. custom care servic also veri good. overall, good.",0.431666667,Positive
2,ICICI Bank Credit Card,thing sure that Paisabazaar quality professional customer service executives. really easy credit card. From helping choose ideal card till final step overall great customer experience. card been best thing far.,Ojasvini,thing sure that paisabazaar qualiti profession custom servic executives. realli easi credit card. from help choos ideal card till final step overal great custom experience. card been best thing far.,0.55,Positive
3,HDFC Bank Credit Card,This first credit card still have with because simple rewards program fee. have been able earn good rewards with this card. Would totally recommend this beginners.,Rahul Kumar Arya,thi first credit card still have with becaus simpl reward program fee. have been abl earn good reward with thi card. would total recommend thi beginners.,0.316666667,Positive
4,American Express Credit Card,Membership rewards card best card compared card other bank. mean which bank gives 1000 points just making transactions calender month ...? none amex roxx care next level other bank even amex care ......without thinking twice just go... Read more...,gurpreet,membership reward card best card compar card other bank. mean which bank give 1000 point just make transact calend month ...? none amex roxx care next level other bank even amex care ......without think twice just go... read more...,0.229166667,Neutral
5,State Bank of India Credit Card,extra rewards benefits. Only basic features. Could have been better.,Shrutika Dhawan,extra reward benefits. onli basic features. could have been better.,0.166666667,Neutral
6,State Bank of India Credit Card,Simply Click good card online shopping. rewards. Recommended!,Ritu Kushwaha,simpli click good card onlin shopping. rewards. recommended!,0.7,Positive
7,American Express Credit Card,only credit card from American Express that comes with Annual offers amazing list cashbacks rewards that make worth having,Vidhi Khatri,onli credit card from american express that come with annual offer amaz list cashback reward that make worth have,0.15,Neutral
8,American Express Credit Card,"keeps toes with frequent travels, thanks American Express Platinum Travel Credit Card enjoy lounge access days when flights painfully delayed",Vidisha,"keep toe with frequent travels, thank american express platinum travel credit card enjoy loung access day when flight pain delay",0.166666667,Neutral
9,American Express Credit Card,Ever since have this card spending have become rewarding with amazing rewards program that Amex membership rewards card offers.,Shivi,ever sinc have thi card spend have becom reward with amaz reward program that amex membership reward card offers.,0,Neutral
