,bank_name,reviews,card_category,word_count,char_count,avg_word,stopwords,sentiment,topic,score
0,State Bank of India Credit Card,on first stay trident group rewarded 1500 bonus,reward,15,79,4.333333333,5,0.25,reward,0.992460072
1,State Bank of India Credit Card,from supermarket watching movie spending rewarding,shopping,16,98,5.1875,7,0.5,benefit,0.993385792
2,State Bank of India Credit Card,have using 2 year now the benefit good,reward,20,96,3.85,10,0.7,card,0.977478504
3,State Bank of India Credit Card,this indeed one offer rewarding saving benefit holder,reward,18,101,4.666666667,7,0.5,reward,0.992536128
4,State Bank of India Credit Card,the valueback deal fuel perfect benefit,fuel,12,66,4.583333333,5,1,benefit,0.998053253
5,State Bank of India Credit Card,utilized accrued utility bill payment,reward,13,73,4.692307692,5,0,card,0.979674578
6,State Bank of India Credit Card,grocery rewarding on every 100 inr spent 15,reward,16,87,4.5,3,0.2,benefit,0.978010118
7,Citibank Credit Card,made use air mile citi bank partner,shopping,16,83,4.25,6,0,benefit,0.970259607
8,State Bank of India Credit Card,there tiny redemption fee good,reward,13,67,4.230769231,6,0.35,reward,0.962229431
9,State Bank of India Credit Card,got worth 12500 exceeding spending 4 lac,reward,14,72,4.214285714,4,0.3,reward,0.990927577
10,State Bank of India Credit Card,like amazing rewarding is,reward,10,53,4.4,4,0.55,reward,0.997747481
11,American Express Credit Card,on getting 1 membership point every inr 50 spend,reward,18,89,4,4,0,credit,0.992056072
12,Citibank Credit Card,since 4 year using citi bank life time free they given limit r 58000 using purpose getting statement email this bank provides good service rate interest high 25,shopping,59,306,4.203389831,22,0.42,credit,0.974817216
13,Citibank Credit Card,citi provided annual fee chargeable 1k much high compared bank if provide life time free chance many people apply it there waiver off use started restaurant purpose the limit 60k initial told eligible 1l 10l an interest rate high emi conversion applicable charge high 1520,fuel,89,454,4.255813953,33,0.23,card,0.982997596
14,ICICI Bank Credit Card,happy aspect except give enough,fuel,17,90,4.352941176,8,0.4,fuel,0.983046889
15,ICICI Bank Credit Card,using icici almost last 4 year im getting good for dining partner restaurant partner shop im getting cashbacks availed emi conversion facility charge depends tenure period select charge le,cashback,56,324,4.803571429,20,0.35,credit,0.984560549
16,ICICI Bank Credit Card,on spending icici 2 per 100 inr spent,reward,16,79,4,2,-0.1,spending,0.987997591
17,ICICI Bank Credit Card,the travel plan icici rubyx best,reward,13,63,3.923076923,5,1,credit,0.986235499
18,American Express Credit Card,this truly best come milestone saving,reward,15,82,4.533333333,6,1,credit,0.984820247
19,American Express Credit Card,the earn rate fairly decent,reward,10,51,4.2,3,0.17,card,0.993479431
20,American Express Credit Card,used catalogue amex,reward,11,62,4.727272727,5,0,reward,0.953139782
21,HSBC Bank Credit Card,happy content massive array spending done,reward,19,100,4.315789474,9,0.4,spending,0.983669221
22,American Express Credit Card,getting 5000 milestone bonus membership redeemable travel voucher worth rs4000,reward,15,107,6.2,2,0.3,offer,0.989612997
23,State Bank of India Credit Card,there 25000 accrued used gift catalogue,reward,22,118,4.409090909,10,0,reward,0.961198449
24,Standard Chartered Bank Credit Card,standard chartered bank provided annual fee chargeable applied direct bank one year back there waiver option spend certain amount usage the limit 2l at initial got 115l enhanced well preferred cash limit use dining out online purchase based usage,shopping,71,387,4.464788732,20,0.06,credit,0.983859301
25,State Bank of India Credit Card,all hold great value used cashback,cashback,12,63,4.333333333,4,0.8,reward,0.935222268
26,State Bank of India Credit Card,liking dining,reward,11,56,4.181818182,5,0,reward,0.978592575
27,HSBC Bank Credit Card,perfectly rewarding simply love it great,reward,8,55,6,0,0.6,credit,0.996709168
28,American Express Credit Card,except expense like insurance utility cash transaction 1 point per inr 50 spend,reward,21,120,4.761904762,3,0,spending,0.948691189
