ttext,date,isretweet,retweetcount,favoritecount,score,product,region,country,duplicate
OnePlus 9RT in stock ,19-01-2022 02:04,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@AxisBankSupport i haven't applied for Flipkart axis bank credit card but in Flipkart it's showing that,i have one.  ",19-01-2022 02:44,FALSE,0,0,0,Axis,Delhi,India,FALSE
"@HDFC_Bank My loan application and credit card request is being declined from your end, they are saying that docume  ",19-01-2022 03:34,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"Hey @AxisBank , i didn't received my credit card statement of December month. It's already 5 days delay. Your servi  ",19-01-2022 03:53,FALSE,0,1,-1,Axis,Delhi,India,FALSE
"@TechnoFino 
Bro I find a term in my hdfc millinea credit card statement.
1 RP Premium LTF.
What is this mean?
Is m  ",19-01-2022 04:03,FALSE,0,0,0,hdfc,Delhi,India,FALSE
@HDFC_Bank why have you been charging me for over two years for a credit card I don't own?!,19-01-2022 04:24,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
"@AxisBank hello,
I have received Flipkart axis bank credit card long back but not updated in Flipkart app and not a  ",19-01-2022 04:36,FALSE,0,0,0,Axis,Bangalore,India,FALSE
One of my known raising issue about charging illegal interest rate on credit card from @HDFC_Bank lajpat nagar-1 br  ,19-01-2022 04:36,FALSE,0,1,-2,hdfc,Delhi,India,FALSE
"Further court proceeding., rest legal notice is serving to bank manager and credit card department of @HDFC_Bank.  ",19-01-2022 04:52,FALSE,0,0,0,hdfc,Delhi,India,FALSE
@amazonIN @amazon @PMOIndia @FinMinIndia from the last one month i called amazon customer care for my cash back whi  ,19-01-2022 04:56,FALSE,0,0,0,icici,Mumbai,India,FALSE
"@SBICard_Connect  Hi SBI,
Around an year ago i have permanently block my SBI credit card with paying all dues.
Now  ",19-01-2022 05:18,FALSE,0,0,0,SBI,Mumbai,India,FALSE
"@Flipkart hello,
I have issue regarding Flipkart axis bank credit card, please help me on the issue",19-01-2022 05:53,FALSE,0,0,-2,Axis,Bangalore,India,FALSE
@HDFC_Bank what the hell is wrong with you! I have applied for DND a month back and still getting daily loan or cre  ,19-01-2022 06:07,FALSE,0,0,-2,hdfc,Mumbai,India,FALSE
"Available now at icrest Moradabad 
Cross Road Mall 
Near Peeli Kothi 
Opp Temptation 
Contact:-9759296127,914900751  ",19-01-2022 06:10,FALSE,0,0,0,icici,Delhi,India,FALSE
"Available now at icrest Moradabad 
Cross Road Mall 
Near Peeli Kothi 
Opp Temptation 
Contact:-9759296127,914900751  ",19-01-2022 06:10,FALSE,0,0,0,SBI,Delhi,India,FALSE
"@SBICard_Connect  Dear Sbi
I made a request few days back regarding wrong finance charges on my credit card .
No re  ",19-01-2022 06:42,FALSE,0,0,-1,SBI,Delhi,India,FALSE
"The problem is not limited to HDFC Bank. 

In the 12 months through November 2021, the banking system has seen a sl  ",19-01-2022 06:50,FALSE,0,4,-2,hdfc,Mumbai,India,FALSE
"@HDFCBank__Cares @HDFC_Bank Team, how much time it will take for insta vouchers to come, redeemed through credit ca  ",19-01-2022 06:53,FALSE,0,0,0,hdfc,Delhi,India,FALSE
"@HDFC_Bank hi one of your person who called regarding credit card payment defamed by calling me a fraud.

And also  ",19-01-2022 07:10,FALSE,0,0,0,hdfc,Bangalore,India,FALSE
"@ICICIBank_Care 
@ICICIBank ,  Such a fraudulent thing doing by ICICI Bank credit card division 
They are charging  ",19-01-2022 07:13,FALSE,0,0,-1,icici,Bangalore,India,FALSE
@motorolaindia @Flipkart If this phone comes under 18k then only this phone is good also bank offer for ICICI is no  ,19-01-2022 07:14,FALSE,0,0,1,icici,Mumbai,India,FALSE
@TheOfficialSBI @Kekdakumar Thankyou for your interest in SBI Credit Card(APPCODE 024366). Please send this SMS(wit  ,19-01-2022 07:18,FALSE,0,0,0,SBI,Kolkata,India,FALSE
@AxisBank Facing issues in my credit card services.... even customer care no is not reachable..no idea how to resol  ,19-01-2022 07:47,FALSE,0,0,-1,Axis,Delhi,India,FALSE
@ICICIBank_Care Very bad service for ICICI credit card,19-01-2022 07:54,FALSE,0,0,-1,icici,Mumbai,India,FALSE
@HDFC_Bank @HDFCBank_Cares my credit card is disabled ...I don't know why ?? no one is picking up the call ..PLS RESOLVE THE ISSUE ...,19-01-2022 08:05,FALSE,0,0,-2,hdfc,Mumbai,India,FALSE
